"time","x","y","z","abs"
3.513526561E0,3.102885485E0,7.374141216E-1,3.256114423E-1,3.205885327E0
3.533519374E0,2.001552582E0,1.915361285E-1,1.417367458E0,2.460046613E0
3.553518488E0,1.618480325E0,-1.379060149E0,-2.001552582E0,2.920188041E0
3.573535780E0,6.416460276E-1,-1.005564690E0,-1.043871999E0,1.585098962E0
3.593521093E0,1.072602391E0,-9.576807022E-1,1.628057212E-1,1.447112269E0
3.613534009E0,1.580173135E0,-7.086837292E-1,5.937620401E-1,1.830773914E0
3.633528957E0,8.044517636E-1,-4.405331016E-1,5.267243981E-1,1.057662822E0
3.653532655E0,7.086837292E-1,2.106897533E-1,3.830722570E-1,8.326867083E-1
3.673531145E0,3.083731890E0,-8.619126081E-1,-9.097966552E-1,3.328667251E0
3.693562811E0,-1.819593310E-1,-1.015141487E0,1.206677675E0,1.587353914E0
3.713528905E0,-1.781286120E0,4.501099288E-1,1.235408068E0,2.214003678E0
3.733520051E0,-1.398213744E0,6.895300746E-1,-1.340752989E-1,1.564745853E0
3.753522603E0,-5.267243981E-1,4.596867263E-1,-8.810662031E-1,1.124734694E0
3.773534009E0,1.589749932E0,-6.129156351E-1,-6.416460276E-1,1.820626279E0
3.793536770E0,2.758120298E0,-5.075707436E-1,1.340752989E-1,2.807638122E0
3.813530259E0,2.011129379E0,-1.149216816E-1,3.131615877E0,3.723555609E0
3.833523176E0,2.365471363E0,-7.661445141E-1,7.278373241E-1,2.590787401E0
3.853568905E0,6.320692301E-1,-1.302445769E0,2.528276920E0,2.913427651E0
3.873572447E0,7.565677166E-1,-1.407790542E0,2.509123325E0,2.974889709E0
3.893523280E0,-6.703764796E-1,2.968810201E-1,1.628057212E-1,7.510317353E-1
3.913526561E0,-3.926490843E-1,1.561019540E0,9.576806799E-3,1.609672955E0
3.933534738E0,-1.005564690E0,9.385270476E-1,4.405331016E-1,1.444320871E0
3.953537030E0,-1.781286120E0,1.149216771E0,-5.746083856E-1,2.196327441E0
3.973543801E0,-2.308010340E0,4.884171486E-1,-7.757213712E-1,2.483386133E0
3.993572290E0,-1.934514999E0,4.501099288E-1,2.873042040E-2,1.986396906E0
4.013519738E0,-2.882618904E0,5.937620401E-1,-1.819593310E-1,2.948754704E0
4.033529061E0,-2.815581083E0,-2.106897533E-1,-9.576806426E-2,2.825076730E0
4.053533905E0,-8.236053586E-1,-4.118026793E-1,2.547430515E0,2.708746844E0
4.073572603E0,2.576161146E0,1.254561663E0,-1.340752989E-1,2.868537502E0
4.093530780E0,2.710236311E0,6.799532771E-1,-1.675941229E0,3.258296537E0
4.113538697E0,1.130063176E0,-6.895300746E-1,-5.171475410E-1,1.421244555E0
4.133520624E0,-3.639186621E-1,-1.005564690E0,8.331822157E-1,1.355651040E0
4.153539165E0,5.650315881E-1,-1.015141487E0,3.342305660E0,3.538471430E0
4.173533436E0,2.633621931E0,9.576806799E-3,8.619126081E-1,2.771091759E0
4.193528697E0,1.781286120E0,-9.576806799E-3,-4.309563041E-1,1.832701638E0
4.213523176E0,-1.359906554E0,-5.746083856E-1,1.896207690E0,2.403148817E0
4.233527759E0,-1.359906554E0,-5.746083856E-1,1.896207690E0,2.403148817E0
4.253532655E0,-2.173935175E0,1.082179189E0,6.703764945E-2,2.429320890E0
4.273546978E0,-3.620033026E0,1.149216816E-1,-2.968810201E-1,3.634003913E0
4.293537915E0,-3.323152065E0,-1.819593310E-1,-5.458779931E-1,3.372600129E0
4.313530155E0,-2.384624958E0,1.034295082E0,-6.224924326E-1,2.672769974E0
4.333542811E0,-1.130063176E0,3.562572241E0,-5.458779931E-1,3.777161174E0
4.353533696E0,1.168370485E0,-1.915361285E-1,1.503558636E0,1.913756581E0
4.373527238E0,2.135627985E0,-1.388636947E0,2.240972757E0,3.392812750E0
4.393526874E0,2.087743998E0,-1.321599364E0,6.799532771E-1,2.562740006E0
4.413522394E0,1.963245392E0,-1.628057122E0,-4.788403213E-2,2.550920489E0
4.433531821E0,2.298433542E0,-2.365471363E0,8.619125932E-2,3.299345458E0
4.453550311E0,3.026270866E0,-2.499546528E0,1.235408068E0,4.114885332E0
4.473522342E0,2.413355350E0,-2.164358377E0,3.332728863E0,4.649280902E0
4.493537082E0,1.752555609E0,-4.788403511E-1,3.055001259E0,3.554401769E0
4.513530623E0,1.053448796E0,-2.298433632E-1,-3.064578176E-1,1.120936542E0
4.533567290E0,-2.585737705E-1,-1.628057212E-1,3.447650373E-1,4.606832193E-1
4.553532290E0,-1.158793569E0,1.513135433E0,2.873042040E-2,1.906097272E0
4.573529686E0,-2.164358377E0,3.141192675E0,-8.714894056E-1,3.912931432E0
4.593522863E0,-2.432508945E0,8.140285611E-1,-3.447650373E-1,2.588166378E0
