time,id,rssi
1708890845137 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -75
1708890846254 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -72
1708890847357 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -73
1708890848473 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -74
1708890849588 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -73
1708890850702 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -74
1708890854045 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -76
1708890855162 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -75
1708890856281 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -75
1708890857402 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -76
1708890859629 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -73
1708890860743 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -72
1708890861849 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -73
1708890862969 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -68
1708890864081 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -67
1708890865201 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -68
1708890866305 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -76
1708890867425 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -75
1708890869641 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -75
1708890870747 , dbc6b52c-810f-40e1-b316-bb5d94c275f7 , -99
1708890875196 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -68
1708890876314 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -69
1708890877428 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -69
1708890878542 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -75
1708890879648 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -75
1708890881882 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -74
1708890882990 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -75
1708890884107 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -73
1708890885220 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -73
1708890886325 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -73
1708890887441 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -69
1708890888553 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -69
1708890889666 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -69
1708890890780 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -69
1708890895228 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -73
1708890896337 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -73
1708890897453 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -73
1708890898565 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -74
1708890899678 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -70
1708890900794 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -69
1708890901904 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -70
1708890903020 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -76
1708890904134 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -76
1708890905234 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -75
1708890906347 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -75
1708890907468 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -74
1708890908579 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -74
1708890909691 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -74
1708890910804 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -74
1708890911909 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -73
1708890916356 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -75
1708890917460 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -74
1708890918565 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -75
1708890919682 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -75
1708890920793 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -73
1708890921898 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -74
1708890923012 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -73
1708890924124 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -69
1708890925236 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -69
1708890926349 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -69
1708890927464 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -69
1708890928578 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -74
1708890929690 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -73
1708890930802 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -74
1708890931915 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -73
1708890936345 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -69
1708890937462 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -70
1708890938577 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -70
1708890939688 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -70
1708890940802 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -72
1708890941906 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -73
1708890943026 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -73
1708890944135 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -74
1708890945243 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -74
1708890946358 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -75
1708890947460 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -74
1708890948574 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -70
